Temperature,Exhaust Vacuum,Ambient Pressure,Relative Humidity
14.96,41.76,1024.07,73.17
25.18,62.96,1020.04,59.08
5.11,39.4,1012.16,92.14
20.86,57.32,1010.24,76.64
10.82,37.5,1009.23,96.62
26.27,59.44,1012.23,58.77
15.89,43.96,1014.02,75.24
9.48,44.71,1019.12,66.43
14.64,45,1021.78,41.25
11.74,43.56,1015.14,70.72
17.99,43.72,1008.64,75.04
20.14,46.93,1014.66,64.22
24.34,73.5,1011.31,84.15
25.71,58.59,1012.77,61.83
26.19,69.34,1009.48,87.59
21.42,43.79,1015.76,43.08
18.21,45,1022.86,48.84
11.04,41.74,1022.6,77.51
14.45,52.75,1023.97,63.59
13.97,38.47,1015.15,55.28
17.76,42.42,1009.09,66.26
5.41,40.07,1019.16,64.77
7.76,42.28,1008.52,83.31
27.23,63.9,1014.3,47.19
27.36,48.6,1003.18,54.93
27.47,70.72,1009.97,74.62
14.6,39.31,1011.11,72.52
7.91,39.96,1023.57,88.44
5.81,35.79,1012.14,92.28
30.53,65.18,1012.69,41.85
23.87,63.94,1019.02,44.28
26.09,58.41,1013.64,64.58
29.27,66.85,1011.11,63.25
27.38,74.16,1010.08,78.61
24.81,63.94,1018.76,44.51
12.75,44.03,1007.29,89.46
24.66,63.73,1011.4,74.52
16.38,47.45,1010.08,88.86
13.91,39.35,1014.69,75.51
23.18,51.3,1012.04,78.64
22.47,47.45,1007.62,76.65
13.39,44.85,1017.24,80.44
9.28,41.54,1018.33,79.89
11.82,42.86,1014.12,88.28
10.27,40.64,1020.63,84.6
22.92,63.94,1019.28,42.69
16,37.87,1020.24,78.41
21.22,43.43,1010.96,61.07
13.46,44.71,1014.51,50
9.39,40.11,1029.14,77.29
31.07,73.5,1010.58,43.66
12.82,38.62,1018.71,83.8
32.57,78.92,1011.6,66.47
8.11,42.18,1014.82,93.09
13.92,39.39,1012.94,80.52
23.04,59.43,1010.23,68.99
27.31,64.44,1014.65,57.27
5.91,39.33,1010.18,95.53
25.26,61.08,1013.68,71.72
27.97,58.84,1002.25,57.88
26.08,52.3,1007.03,63.34
29.01,65.71,1013.61,48.07
12.18,40.1,1016.67,91.87
13.76,45.87,1008.89,87.27
25.5,58.79,1016.02,64.4
28.26,65.34,1014.56,43.4
21.39,62.96,1019.49,72.24
7.26,40.69,1020.43,90.22
10.54,34.03,1018.71,74
27.71,74.34,998.14,71.85
23.11,68.3,1017.83,86.62
7.51,41.01,1024.61,97.41
26.46,74.67,1016.65,84.44
29.34,74.34,998.58,81.55
10.32,42.28,1008.82,75.66
22.74,61.02,1009.56,79.41
13.48,39.85,1012.71,58.91
25.52,69.75,1010.36,90.06
21.58,67.25,1017.39,79
27.66,76.86,1001.31,69.47
26.96,69.45,1013.89,51.47
12.29,42.18,1016.53,83.13
15.86,43.02,1012.18,40.33
13.87,45.08,1024.42,81.69
24.09,73.68,1014.93,94.55
20.45,69.45,1012.53,91.81
15.07,39.3,1019,63.62
32.72,69.75,1009.6,49.35
18.23,58.96,1015.55,69.61
35.56,68.94,1006.56,38.75
18.36,51.43,1010.57,90.17
26.35,64.05,1009.81,81.24
25.92,60.95,1014.62,48.46
8.01,41.66,1014.49,76.72
19.63,52.72,1025.09,51.16
20.02,67.32,1012.05,76.34
10.08,40.72,1022.7,67.3
27.23,66.48,1005.23,52.38
23.37,63.77,1013.42,76.44
18.74,59.21,1018.3,91.55
14.81,43.69,1017.19,71.9
23.1,51.3,1011.93,80.05
10.72,41.38,1021.6,63.77
29.46,71.94,1006.96,62.26
8.1,40.64,1020.66,89.04
27.29,62.66,1007.63,58.02
17.1,49.69,1005.53,81.82
11.49,44.2,1018.79,91.14
23.69,65.59,1010.85,88.92
13.51,40.89,1011.03,84.83
9.64,39.35,1015.1,91.76
25.65,78.92,1010.83,86.56
21.59,61.87,1011.18,57.21
27.98,58.33,1013.92,54.25
18.8,39.72,1001.24,63.8
18.28,44.71,1016.99,33.71
13.55,43.48,1016.08,67.25
22.99,46.21,1010.71,60.11
23.94,59.39,1014.32,74.55
13.74,34.03,1018.69,67.34
21.3,41.1,1001.86,42.75
27.54,66.93,1017.06,55.2
24.81,63.73,1009.34,83.61
4.97,42.85,1014.02,88.78
15.22,50.88,1014.19,100.12
23.88,54.2,1012.81,64.52
33.01,68.67,1005.2,51.41
25.98,73.18,1012.28,85.78
28.18,73.88,1005.89,75.41
21.67,60.84,1017.93,81.63
17.67,45.09,1014.26,51.92
21.37,57.76,1018.8,70.12
28.69,67.25,1017.71,53.83
16.61,43.77,1012.25,77.23
27.91,63.76,1010.27,65.67
20.97,47.43,1007.64,71.18
10.8,41.66,1013.79,81.96
20.61,62.91,1013.24,79.54
25.45,57.32,1011.7,47.09
30.16,69.34,1007.67,57.69
4.99,39.04,1020.45,78.89
10.51,44.78,1012.59,85.29
33.79,69.05,1001.62,40.13
21.34,59.8,1016.92,77.06
23.4,65.06,1014.32,67.38
32.21,68.14,1003.34,62.44
14.26,42.32,1016,77.43
27.71,66.93,1016.85,58.77
21.95,57.76,1018.02,67.72
25.76,63.94,1018.49,42.14
23.68,68.3,1017.93,84.16
8.28,40.77,1011.55,89.79
23.44,62.52,1016.46,67.21
25.32,48.41,1008.47,72.14
3.94,39.9,1008.06,97.49
17.3,57.76,1016.26,87.74
18.2,49.39,1018.83,96.3
21.43,46.97,1013.94,61.25
11.16,40.05,1014.95,88.38
30.38,74.16,1007.44,74.77
23.36,62.52,1016.18,68.18
21.69,47.45,1007.56,77.2
23.62,49.21,1014.1,49.54
21.87,61.45,1011.13,92.22
29.25,66.51,1015.53,33.65
20.03,66.86,1013.05,64.59
18.14,49.78,1002.95,100.09
24.23,56.89,1012.32,68.04
18.11,44.85,1014.48,48.94
6.57,43.65,1018.24,74.47
12.56,43.41,1016.93,81.02
13.4,41.58,1020.5,71.17
27.1,52.84,1006.28,53.85
14.28,42.74,1028.79,70.67
16.29,44.34,1019.49,59.36
31.24,71.98,1004.66,57.17
10.57,37.73,1024.36,70.29
13.8,44.21,1022.93,83.37
25.3,71.58,1010.18,87.36
18.06,50.16,1009.52,100.09
25.42,59.04,1011.98,68.78
15.07,40.69,1015.29,70.98
11.75,71.14,1019.36,75.68
20.23,52.05,1012.15,47.49
27.31,59.54,1006.24,71.99
28.57,69.84,1003.57,66.55
17.9,43.72,1008.64,74.73
23.83,71.37,1002.04,64.78
27.92,74.99,1005.47,75.13
17.34,44.78,1007.81,56.38
17.94,63.07,1012.42,94.35
6.4,39.9,1007.75,86.55
11.78,39.96,1011.37,82.95
20.28,57.25,1010.12,88.42
21.04,54.2,1012.26,85.61
25.11,67.32,1014.49,58.39
30.28,70.98,1007.51,74.28
8.14,36.24,1013.15,87.85
16.86,39.63,1004.47,83.5
6.25,40.07,1020.19,65.24
22.35,54.42,1012.46,75.01
17.98,56.85,1012.28,84.52
21.19,42.48,1013.43,80.52
20.94,44.89,1009.64,75.14
24.23,58.79,1009.8,75.75
19.18,58.2,1017.46,76.72
20.88,57.85,1012.39,85.47
23.67,63.86,1019.67,57.95
14.12,39.52,1018.41,78.32
25.23,64.63,1020.59,52.2
