Temperature,Exhaust Vacuum,Ambient Pressure,Relative Humidity
24.18,66.48,1004.0,64.86
29.29,70.02,1010.13,46.93
11.4,52.75,1023.31,75.7
32.05,77.24,1008.06,67.09
23.04,74.22,1009.52,90.93
23.78,58.86,1015.7,62.95
11.23,43.67,1012.57,72.1
16.2,65.46,1013.97,89.84
10.66,37.5,1009.42,95.86
21.94,64.15,1021.2,61.75
22.32,69.48,1011.1,77.86
31.62,64.05,1010.94,58.93
15.42,40.56,1021.23,59.37
25.82,66.49,1013.2,60.32
29.09,75.33,1001.61,71.06
11.3,40.55,1005.97,97.99
12.22,40.71,1021.25,80.83
12.64,40.69,1015.86,82.06
7.3,43.65,1019.33,67.62
9.68,41.06,1022.75,87.44
21.67,50.32,1008.41,85.99
31.27,69.13,1009.45,57.01
17.61,56.53,1019.5,82.3
27.83,69.04,1009.69,63.79
9.65,41.03,1021.09,64.97
17.48,49.39,1021.51,84.53
22.84,59.39,1014.61,80.36
11.42,40.35,1011.55,82.71
14.37,40.56,1021.67,68.18
20.24,56.53,1020.29,77.75
16.85,41.35,1006.14,79.21
10.52,41.01,1020.35,93.58
17.3,58.59,1015.52,87.17
31.35,68.67,1005.26,66.85
19.48,39.72,1001.75,55.41
22.0,51.3,1012.87,85.79
12.32,43.69,1016.26,83.18
14.02,43.34,1016.06,85.8
28.62,68.24,1010.15,69.31
24.62,72.24,1011.39,83.94
15.46,42.07,1017.9,81.12
21.39,63.9,1013.44,70.95
27.01,71.25,1000.46,87.95
7.11,39.9,1008.82,87.76
23.85,74.22,1009.99,82.72
22.36,59.44,1013.1,84.74
23.63,58.79,1017.2,67.68
21.73,61.45,1010.27,91.59
14.54,42.99,1009.27,90.88
14.1,43.34,1012.91,86.45
23.19,60.75,1008.33,82.0
31.63,69.59,1008.66,61.81
16.65,46.18,1010.6,95.69
21.54,58.41,1013.99,86.34
19.15,39.72,1001.49,58.62
8.02,39.04,1018.49,68.07
15.31,40.66,1016.46,84.64
13.34,41.79,1011.48,86.66
11.67,41.93,1019.81,82.58
14.64,53.82,1016.33,60.59
23.28,48.92,1010.23,41.55
17.17,63.09,1020.54,95.98
10.06,39.61,1020.87,74.01
11.86,40.55,1019.82,91.45
24.49,59.87,1018.4,59.95
21.31,46.97,1014.08,62.57
26.52,73.21,1002.3,95.38
10.03,41.62,1014.55,95.61
22.54,63.91,1012.15,84.91
13.01,41.49,1019.82,92.86
11.28,40.55,1006.23,97.78
20.37,69.48,1011.04,84.31
30.75,71.25,1000.07,65.47
8.99,36.66,1028.11,71.98
8.64,34.69,1026.79,80.88
13.94,38.47,1015.03,53.9
20.8,69.45,1013.7,82.48
19.41,67.32,1012.34,78.8
13.49,44.47,1030.18,69.15
21.7,60.77,1018.07,88.15
31.45,68.27,1007.56,64.79
27.29,71.32,1006.39,81.59
11.1,40.92,1021.98,94.14
26.94,68.24,1010.49,76.58
21.59,48.06,1012.72,77.13
24.19,65.48,1018.8,60.54
25.44,65.06,1013.82,55.72
8.33,38.08,1018.94,73.78
9.51,43.79,1016.02,79.81
26.78,66.54,1010.14,49.01
13.92,39.58,1012.5,80.28
23.0,49.5,1014.15,66.68
14.04,42.44,1012.74,81.89
15.45,46.63,1012.6,85.47
24.41,56.9,1006.58,77.94
21.53,70.02,1010.33,95.95
14.3,54.3,1015.16,75.29
24.63,59.57,1010.45,85.36
26.81,61.47,1009.68,68.34
12.62,40.83,1010.06,81.52
19.89,68.08,1012.65,80.25
27.41,59.21,1013.3,50.93
15.2,39.0,1016.1,72.76
28.6,71.22,1003.15,58.33
30.3,73.9,1006.72,55.13
17.61,56.53,1019.5,82.3
12.32,41.62,1012.88,88.88
19.35,39.39,1013.91,61.53
12.62,40.92,1021.85,81.41
23.79,59.44,1012.53,79.48
20.96,61.27,1019.99,67.32
24.08,49.3,1003.23,70.42
16.05,65.46,1013.92,87.99
18.9,56.03,1020.77,71.83
17.74,49.69,1006.09,80.7
20.08,44.6,1014.91,36.27
9.94,41.44,1015.21,87.02
9.68,41.48,1018.24,71.04
27.43,64.96,999.72,67.94
10.22,39.16,1015.71,96.2
11.93,38.78,1013.15,96.08
15.78,48.6,1007.24,84.23
26.61,56.85,1012.48,48.84
17.72,50.9,1012.02,85.55
16.15,44.21,1020.76,85.41
9.64,36.66,1027.1,70.11
7.76,37.7,1014.82,76.47
32.09,79.74,1006.92,61.5
31.04,74.67,1015.85,43.32
19.58,52.9,1017.46,64.64
31.18,77.95,1014.89,65.62
28.73,68.3,1016.53,55.73
27.7,72.24,1011.02,67.6
12.42,40.24,1016.59,90.01
17.32,42.24,1017.35,62.96
24.91,69.89,1015.25,82.39
14.35,35.71,1016.1,60.86
32.39,79.74,1006.92,58.58
18.99,44.58,1018.29,54.71
21.39,51.3,1013.39,89.05
23.42,63.07,1011.72,75.81
12.78,41.04,1025.16,85.14
8.46,39.66,1015.14,85.38
18.12,50.16,1009.82,100.09
22.93,63.13,1011.6,77.09
13.85,44.9,1019.11,76.79
13.98,40.71,1022.72,71.83
6.99,39.37,1020.19,75.06
23.32,66.48,1003.92,72.25
17.69,44.34,1019.31,61.12
24.46,68.61,1011.02,76.66
11.34,41.54,1020.25,75.83
9.21,39.72,1019.54,74.44
10.59,38.38,1021.58,68.23
28.69,73.18,1012.23,68.57
14.96,41.76,1024.07,73.17
17.98,60.1,1009.61,84.11
27.27,72.58,1009.25,89.31
19.15,56.53,1019.95,84.1
24.27,60.37,1005.13,77.16
23.92,73.17,1011.81,92.33
23.95,58.79,1010.45,74.34
23.09,69.13,1010.93,90.07
16.57,63.31,1016.19,81.02
17.28,65.94,1013.62,89.97
12.99,43.8,1023.16,64.65
4.83,38.44,1015.35,72.94
28.99,68.24,1008.75,66.57
22.89,48.98,1014.55,48.21
25.41,66.49,1014.06,51.09
27.78,60.07,1014.66,53.74
21.4,74.93,1014.58,80.85
22.42,71.77,1005.5,90.62
9.04,40.11,1023.3,76.32
29.26,67.17,1006.6,70.58
4.96,45.87,1007.32,98.78
27.79,71.85,1008.95,87.35
26.88,69.51,1012.76,45.03
32.02,67.83,1007.77,53.31
15.65,43.5,1021.39,78.58
23.92,63.21,1012.52,86.51
12.28,40.92,1023.23,89.14
23.75,67.9,1006.25,70.17
27.35,77.95,1012.14,74.14
24.2,57.85,1013.05,70.29
13.03,42.86,1014.39,86.25
5.89,40.07,1018.99,63.13
29.44,65.51,1014.82,56.49
28.12,73.42,1011.49,80.16
27.47,66.86,1006.1,70.2
18.26,59.15,1012.38,85.74
20.55,46.21,1013.21,73.18
30.76,59.57,1010.66,61.76
27.37,69.23,1013.25,48.02
23.53,68.94,1007.53,69.17
26.92,73.17,1011.42,76.94
19.65,57.85,1011.73,93.89
26.38,49.5,1012.82,37.19
6.67,39.37,1020.31,73.56
27.0,69.4,1004.86,82.2
28.21,70.02,1010.58,51.34
26.82,75.08,1005.93,60.81
27.01,71.25,1000.46,87.95
27.09,59.15,1013.02,55.18
7.41,40.71,1023.07,83.32
14.69,53.82,1016.54,63.49
15.72,41.76,1023.07,66.95
7.74,42.49,1009.07,90.11
14.55,42.74,1027.29,66.64
27.27,72.24,1010.69,78.09
13.52,39.39,1012.91,84.03
6.57,42.07,1004.48,74.82
13.61,41.16,1020.49,75.09
33.2,70.8,1008.75,59.41
15.45,45.0,1023.63,70.74
16.01,43.69,1017.12,62.43
16.59,41.79,1006.67,73.9
14.48,38.92,1015.6,90.05
24.54,60.23,1011.55,72.78
9.98,39.66,1017.32,77.78
13.44,39.64,1013.23,73.43
20.96,69.48,1011.04,82.63
23.04,48.06,1014.16,54.99
24.61,62.39,1006.39,79.08
25.41,48.06,1013.12,46.52
21.78,68.28,1001.0,79.3
21.99,51.19,1009.19,82.58
31.35,71.97,1008.29,72.26
16.37,36.99,1006.37,90.11
